train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.0882,0.9347,1.1576,0.7196,0.0836,0.9275,1.1425,0.7107
0.0742,0.9054,1.1462,0.7015,0.049,0.919,1.1433,0.6967
0.0469,0.8795,1.1431,0.683,0.035,0.9172,1.1414,0.6909
0.0345,0.8623,1.1399,0.6721,0.0305,0.9259,1.133,0.6895
0.0297,0.851,1.1354,0.6653,0.0274,0.9246,1.1298,0.687
0.026,0.8437,1.1322,0.6606,0.0275,0.9309,1.1283,0.6886
0.0234,0.8385,1.1302,0.6574,0.03,0.9442,1.1308,0.6947
0.0217,0.835,1.129,0.6553,0.0255,0.9283,1.1307,0.6879
0.0206,0.8324,1.1281,0.6538,0.0208,0.9529,1.1274,0.6934
0.0199,0.8304,1.1276,0.6527,0.0221,0.9512,1.1265,0.6929
0.0194,0.8288,1.1272,0.6519,0.0221,0.9518,1.1262,0.693
