train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.0325,0.9188,1.1456,0.692,0.0345,0.9298,1.1593,0.7008
0.0292,0.9026,1.1431,0.6847,0.0321,0.919,1.1581,0.696
0.0278,0.8951,1.1414,0.6812,0.0286,0.9198,1.1598,0.6957
0.0268,0.8869,1.14,0.6777,0.0281,0.9176,1.1591,0.6945
0.0259,0.8804,1.1386,0.6748,0.0241,0.9163,1.1512,0.6902
0.025,0.8747,1.1373,0.6722,0.0266,0.9101,1.1674,0.6943
0.0244,0.8681,1.1363,0.6695,0.0227,0.915,1.1474,0.6881
0.0235,0.8625,1.1351,0.667,0.0211,0.9407,1.146,0.6956
0.0227,0.8574,1.1338,0.6646,0.0204,0.9387,1.1461,0.6947
0.022,0.8526,1.1328,0.6625,0.0205,0.9367,1.1438,0.6933
