train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1166,0.6685,0.0883,0.2882,0.0202,0.5493,0.066,0.2097
0.0216,0.4326,0.0553,0.1681,0.0186,0.3789,0.0492,0.1474
0.0183,0.3436,0.0449,0.1342,0.0174,0.3273,0.0421,0.1276
0.0167,0.2952,0.0388,0.1158,0.0163,0.2885,0.0367,0.1127
0.0155,0.2609,0.0344,0.1026,0.016,0.2632,0.0344,0.1035
0.0147,0.2347,0.0309,0.0925,0.0141,0.2314,0.0299,0.0908
0.0139,0.2121,0.0278,0.0837,0.0145,0.218,0.0283,0.086
0.0132,0.1924,0.025,0.0761,0.0136,0.2107,0.0279,0.0832
0.0127,0.1785,0.0231,0.0707,0.0128,0.2052,0.0278,0.0811
0.0123,0.1663,0.0213,0.066,0.0125,0.1778,0.0234,0.0705
0.0119,0.1557,0.0198,0.0619,0.0125,0.1761,0.0228,0.0698
0.0116,0.1464,0.0185,0.0582,0.0118,0.1737,0.0224,0.0686
0.0112,0.138,0.0173,0.055,0.0121,0.1652,0.0214,0.0656
0.0109,0.1305,0.0162,0.052,0.0117,0.1535,0.0198,0.061
