train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1419,0.5914,0.0883,0.2712,0.0176,0.5132,0.061,0.1953
0.018,0.333,0.0415,0.1295,0.0157,0.3299,0.0431,0.1283
0.0157,0.2746,0.0347,0.1072,0.0142,0.3419,0.0428,0.1316
0.0145,0.2413,0.0306,0.0945,0.0137,0.2595,0.0319,0.1007
0.0135,0.2137,0.027,0.0839,0.0139,0.244,0.031,0.0953
0.0127,0.1923,0.0242,0.0756,0.0125,0.2053,0.0254,0.0802
0.0121,0.1749,0.0218,0.0689,0.0125,0.1926,0.0244,0.0758
