train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.108,0.624,0.082,0.2686,0.0288,0.5442,0.0791,0.2152
0.0198,0.382,0.0497,0.149,0.0169,0.3641,0.0461,0.1409
0.0174,0.316,0.0416,0.1237,0.0155,0.3664,0.049,0.1422
0.0159,0.2723,0.036,0.107,0.0146,0.3185,0.0431,0.1242
0.0149,0.2429,0.0321,0.0957,0.0155,0.2607,0.0356,0.1029
0.0141,0.2198,0.029,0.0868,0.014,0.2723,0.0378,0.1069
0.0134,0.201,0.0264,0.0795,0.0132,0.2471,0.0336,0.097
0.0128,0.1826,0.0239,0.0724,0.0132,0.2081,0.0274,0.0821
0.0123,0.1694,0.022,0.0672,0.0134,0.244,0.0334,0.096
0.0119,0.1571,0.0202,0.0624,0.0122,0.1812,0.0244,0.0719
0.0115,0.1472,0.0188,0.0586,0.0119,0.1795,0.0256,0.0716
0.0112,0.1384,0.0175,0.0551,0.0117,0.1726,0.0234,0.0685
0.0109,0.1305,0.0164,0.0521,0.0118,0.164,0.022,0.0652
0.0105,0.1227,0.0153,0.049,0.0112,0.1501,0.0202,0.0599
0.0103,0.1153,0.0143,0.0461,0.011,0.1516,0.021,0.0606
0.01,0.1084,0.0133,0.0435,0.0108,0.14,0.0197,0.0563
0.0097,0.1022,0.0125,0.041,0.0106,0.1334,0.0188,0.0537
0.0095,0.0985,0.0119,0.0396,0.0108,0.1354,0.0195,0.0547
0.0093,0.0931,0.0111,0.0375,0.0116,0.1505,0.0214,0.0605
0.0091,0.089,0.0106,0.0359,0.0107,0.1339,0.0198,0.0543
0.0088,0.0834,0.0098,0.0337,0.0104,0.1269,0.0185,0.0514
0.0087,0.0804,0.0094,0.0325,0.0101,0.1197,0.0175,0.0486
0.0086,0.078,0.009,0.0316,0.0101,0.1201,0.0174,0.0487
0.0083,0.0729,0.0084,0.0296,0.01,0.1164,0.0169,0.0473
0.0082,0.0709,0.0081,0.0288,0.0101,0.1158,0.0168,0.0471
0.008,0.0669,0.0076,0.0272,0.0099,0.1143,0.0174,0.0467
0.0077,0.0634,0.0071,0.0258,0.01,0.1138,0.0166,0.0463
0.0078,0.0642,0.0072,0.0261,0.0096,0.1081,0.0164,0.0443
0.0075,0.0592,0.0066,0.0242,0.0096,0.1081,0.017,0.0445
0.0075,0.0593,0.0066,0.0242,0.0095,0.1041,0.016,0.0428
0.0072,0.0553,0.0061,0.0227,0.011,0.1603,0.029,0.0661
0.0073,0.056,0.0062,0.0229,0.0098,0.1161,0.0187,0.0477
0.0069,0.0512,0.0056,0.021,0.0094,0.104,0.0165,0.0429
0.0072,0.0546,0.006,0.0224,0.0094,0.1063,0.0171,0.0438
0.0067,0.0488,0.0053,0.0201,0.0094,0.1047,0.0172,0.0433
0.0069,0.0505,0.0055,0.0208,0.0094,0.1037,0.0169,0.0429
0.0065,0.0461,0.005,0.019,0.0093,0.1,0.0164,0.0415
0.0064,0.0445,0.0048,0.0184,0.0098,0.1102,0.0188,0.0458
0.0064,0.0452,0.0049,0.0186,0.0095,0.1031,0.0174,0.0429
0.0062,0.0429,0.0046,0.0177,0.0096,0.1038,0.0178,0.0433
0.0064,0.0448,0.0049,0.0185,0.0099,0.1135,0.0194,0.0472
0.0064,0.0449,0.0048,0.0185,0.0095,0.1028,0.018,0.043
0.0058,0.0387,0.0041,0.0161,0.0098,0.1086,0.0205,0.0458
0.0061,0.0412,0.0044,0.0171,0.0097,0.109,0.0194,0.0456
0.006,0.0406,0.0044,0.0168,0.0095,0.1073,0.0194,0.0449
0.0056,0.0365,0.0039,0.0152,0.0094,0.1054,0.0194,0.0443
0.0056,0.0367,0.0039,0.0153,0.0094,0.1066,0.0206,0.0451
0.0057,0.0374,0.004,0.0155,0.0094,0.1014,0.018,0.0425
