train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1086,0.664,0.0857,0.2833,0.0201,0.538,0.0646,0.2055
0.0215,0.4215,0.054,0.164,0.0186,0.7803,0.0963,0.2954
0.0181,0.3331,0.0435,0.1302,0.0166,0.3527,0.0426,0.1359
0.0164,0.2849,0.0376,0.1118,0.0153,0.343,0.0422,0.1322
0.0152,0.2516,0.0332,0.099,0.0152,0.2883,0.038,0.1127
0.0142,0.2235,0.0294,0.0882,0.0135,0.2349,0.0301,0.0919
0.0134,0.2009,0.0263,0.0794,0.014,0.2751,0.0378,0.1079
0.0128,0.1817,0.0236,0.072,0.0138,0.2101,0.0277,0.083
0.0122,0.1657,0.0213,0.0657,0.0128,0.1912,0.0254,0.0757
0.0117,0.1519,0.0194,0.0604,0.0125,0.1742,0.0225,0.0691
0.0112,0.1405,0.0179,0.056,0.0119,0.1707,0.0224,0.0677
