train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1663,0.6161,0.0908,0.2882,0.0214,0.605,0.0657,0.2284
0.0198,0.3802,0.0495,0.1483,0.0167,0.5329,0.0593,0.2009
0.0175,0.3202,0.0421,0.1253,0.0191,0.5208,0.0629,0.1989
0.0162,0.2806,0.0369,0.1101,0.0204,0.4362,0.0554,0.169
0.0151,0.2485,0.0327,0.0978,0.0162,0.4235,0.0512,0.162
0.0142,0.2239,0.0294,0.0883,0.0173,0.4995,0.0595,0.1902
0.0136,0.2045,0.0267,0.0808,0.0162,0.4931,0.064,0.1892
0.0128,0.1836,0.0236,0.0726,0.0172,0.4966,0.067,0.1917
0.0122,0.1671,0.0214,0.0662,0.0172,0.4519,0.0618,0.1752
