train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1094,0.6275,0.0833,0.2707,0.0215,0.5532,0.06,0.2095
0.0201,0.4004,0.0498,0.1552,0.0195,0.4426,0.0463,0.1677
0.0182,0.3488,0.0434,0.1354,0.0168,0.5116,0.0555,0.1927
0.017,0.3158,0.0394,0.1228,0.0169,0.3721,0.0425,0.1424
0.0161,0.2886,0.0359,0.1124,0.0148,0.3514,0.0385,0.1336
0.0155,0.2693,0.0334,0.105,0.0144,0.2755,0.0297,0.1055
0.0149,0.2523,0.0314,0.0985,0.0137,0.2617,0.0284,0.1002
0.0144,0.2365,0.0294,0.0925,0.0128,0.2678,0.0292,0.1022
0.0141,0.2267,0.0281,0.0887,0.0133,0.2506,0.027,0.096
0.0136,0.2143,0.0265,0.0839,0.0125,0.244,0.026,0.0932
0.0133,0.2043,0.0252,0.0801,0.0122,0.2136,0.0225,0.0819
0.013,0.1951,0.024,0.0766,0.0117,0.2029,0.0225,0.0783
0.0127,0.1878,0.023,0.0737,0.0114,0.2066,0.0217,0.0791
0.0124,0.1802,0.0221,0.0709,0.0122,0.1979,0.0218,0.0765
0.0122,0.1729,0.0211,0.0681,0.0114,0.1727,0.0182,0.0668
0.0119,0.1674,0.0205,0.0659,0.0115,0.1788,0.0195,0.0692
0.0118,0.1621,0.0197,0.0639,0.0114,0.1689,0.0181,0.0655
0.0115,0.1554,0.0188,0.0613,0.0111,0.159,0.0173,0.0618
0.0114,0.1515,0.0183,0.0598,0.0106,0.1528,0.0166,0.0594
0.0112,0.1461,0.0177,0.0577,0.0104,0.163,0.0176,0.063
0.0111,0.1425,0.0172,0.0563,0.0104,0.1527,0.0165,0.0593
0.0109,0.138,0.0166,0.0546,0.0101,0.1414,0.015,0.055
0.0107,0.1342,0.016,0.0531,0.0101,0.1308,0.014,0.0511
0.0106,0.1302,0.0155,0.0516,0.01,0.1284,0.0135,0.0501
0.0104,0.1261,0.015,0.05,0.0096,0.1276,0.0143,0.05
0.0103,0.1229,0.0146,0.0488,0.0094,0.1192,0.0129,0.0467
0.0102,0.1203,0.0142,0.0477,0.0098,0.1274,0.0142,0.0499
0.0101,0.1171,0.0138,0.0465,0.0098,0.1287,0.0135,0.0502
0.01,0.1141,0.0134,0.0454,0.0093,0.1115,0.0115,0.0437
