train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.201,0.7641,0.1111,0.3551,0.0233,0.6171,0.0656,0.233
0.0223,0.4562,0.0557,0.1763,0.0199,0.6451,0.0694,0.2423
0.0193,0.381,0.0473,0.1477,0.0234,0.4575,0.0565,0.1774
0.018,0.3465,0.0433,0.1346,0.0159,0.5228,0.0557,0.1961
0.017,0.3164,0.0396,0.1231,0.0165,0.4332,0.0452,0.1633
0.0162,0.2919,0.0366,0.1138,0.0157,0.3643,0.0412,0.139
0.0156,0.2731,0.0343,0.1066,0.0152,0.3609,0.0417,0.1379
