train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1988,0.6502,0.0999,0.3131,0.0313,0.5305,0.0639,0.2065
0.0204,0.406,0.0501,0.1572,0.0222,0.4962,0.0557,0.1895
0.0181,0.3484,0.0435,0.1353,0.0187,0.4529,0.0458,0.1708
0.0169,0.3133,0.0391,0.1219,0.0147,0.3984,0.043,0.1505
0.0162,0.2916,0.0365,0.1136,0.0163,0.3082,0.0348,0.1186
0.0155,0.2709,0.034,0.1057,0.0166,0.2978,0.0339,0.1149
0.015,0.2552,0.0319,0.0997,0.0136,0.2913,0.0323,0.1113
0.0145,0.2414,0.0301,0.0944,0.0133,0.2495,0.028,0.096
0.0141,0.2289,0.0285,0.0896,0.0155,0.2437,0.0255,0.0939
0.0137,0.2179,0.0271,0.0853,0.0127,0.2195,0.024,0.0846
0.0134,0.2081,0.0257,0.0816,0.0126,0.2222,0.0249,0.0857
0.0131,0.2001,0.0247,0.0785,0.0129,0.205,0.022,0.0792
0.0128,0.1918,0.0237,0.0753,0.0115,0.2369,0.0275,0.0911
0.0125,0.1829,0.0226,0.0719,0.0115,0.186,0.0216,0.0723
0.0123,0.1779,0.0219,0.07,0.0119,0.1821,0.02,0.0706
0.0121,0.1711,0.021,0.0674,0.0113,0.1747,0.0183,0.0674
0.0118,0.165,0.0202,0.065,0.0116,0.1744,0.0196,0.0679
0.0116,0.1589,0.0194,0.0627,0.0109,0.1764,0.0205,0.0686
0.0115,0.1542,0.0188,0.0609,0.0107,0.1589,0.0176,0.0618
0.0113,0.1492,0.0182,0.0589,0.0109,0.1626,0.0174,0.063
0.0111,0.1463,0.0178,0.0578,0.0104,0.1444,0.0158,0.0563
0.011,0.1413,0.0171,0.0559,0.0114,0.1895,0.0209,0.0732
0.0109,0.138,0.0166,0.0546,0.0105,0.1507,0.0158,0.0584
0.0107,0.1331,0.016,0.0527,0.0106,0.1492,0.0159,0.0579
0.0105,0.1296,0.0155,0.0514,0.0104,0.1375,0.0145,0.0536
0.0104,0.1269,0.0152,0.0503,0.0098,0.1345,0.014,0.0522
0.0103,0.1226,0.0146,0.0487,0.0099,0.1353,0.0147,0.0528
0.0101,0.1191,0.0141,0.0473,0.0094,0.1222,0.0127,0.0476
0.01,0.1163,0.0137,0.0462,0.0093,0.1156,0.0122,0.0452
0.0099,0.114,0.0134,0.0453,0.0091,0.1136,0.012,0.0445
0.0098,0.1112,0.013,0.0442,0.009,0.1066,0.0112,0.0418
0.0097,0.1085,0.0126,0.0432,0.0095,0.1091,0.0116,0.0429
0.0097,0.1069,0.0125,0.0426,0.0087,0.1059,0.0111,0.0415
0.0096,0.1045,0.0121,0.0416,0.0086,0.1012,0.0105,0.0397
0.0094,0.1013,0.0117,0.0404,0.0088,0.0971,0.0098,0.0382
0.0093,0.0994,0.0115,0.0397,0.0086,0.105,0.0112,0.0412
0.0092,0.0969,0.0111,0.0387,0.0085,0.0952,0.0099,0.0375
0.0091,0.0946,0.0108,0.0378,0.0084,0.0896,0.0091,0.0353
0.0091,0.0942,0.0107,0.0376,0.0083,0.0925,0.0095,0.0364
0.009,0.0913,0.0104,0.0365,0.0081,0.0887,0.0093,0.035
0.0089,0.0903,0.0102,0.0361,0.0082,0.0903,0.0094,0.0356
0.0088,0.0872,0.0098,0.0349,0.0081,0.0852,0.0088,0.0337
0.0088,0.0865,0.0097,0.0346,0.009,0.1287,0.0158,0.0506
0.0087,0.0855,0.0096,0.0343,0.008,0.0835,0.0087,0.0331
0.0086,0.084,0.0094,0.0337,0.0078,0.0795,0.0082,0.0315
0.0086,0.0837,0.0093,0.0335,0.008,0.0828,0.0085,0.0328
