train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2245,0.7279,0.1083,0.35,0.0408,0.6812,0.0887,0.2675
0.0225,0.4652,0.0572,0.1798,0.02,0.6387,0.0651,0.2389
0.0197,0.3948,0.0496,0.1532,0.0194,0.5139,0.0596,0.1957
0.0184,0.3588,0.0453,0.1394,0.0167,0.5755,0.0641,0.2166
0.0176,0.3342,0.0422,0.13,0.0185,0.5015,0.0521,0.1888
0.0168,0.3115,0.0394,0.1213,0.0195,0.397,0.0469,0.1529
0.0162,0.2935,0.037,0.1144,0.0179,0.4116,0.0502,0.1583
0.0157,0.2763,0.035,0.1079,0.0166,0.4114,0.0465,0.1566
0.0152,0.2629,0.0332,0.1027,0.0177,0.3894,0.0469,0.1498
0.0149,0.252,0.0318,0.0986,0.0177,0.3724,0.0435,0.1431
0.0145,0.24,0.0303,0.094,0.0163,0.3696,0.0433,0.1417
0.0141,0.2294,0.029,0.0899,0.0154,0.3885,0.0463,0.1486
0.0138,0.2215,0.0279,0.0869,0.0152,0.3836,0.0456,0.1466
0.0135,0.2112,0.0265,0.0829,0.0155,0.3832,0.0441,0.1461
0.0132,0.2027,0.0255,0.0797,0.0162,0.3451,0.0434,0.1336
0.0129,0.1939,0.0243,0.0763,0.0156,0.3789,0.0475,0.1459
0.0127,0.1888,0.0236,0.0743,0.0155,0.3656,0.0431,0.14
0.0124,0.1807,0.0225,0.0712,0.0148,0.3744,0.0452,0.1433
