train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1022,0.9934,0.0986,0.3941,0.0231,0.9986,0.0893,0.3666
0.0258,0.9979,0.0905,0.3677,0.0204,0.9993,0.0988,0.3691
0.0261,0.9977,0.0895,0.3674,0.0216,0.9984,0.0899,0.3663
0.0272,0.9924,0.0907,0.3664,0.0397,0.9971,0.0876,0.3711
0.0286,0.9779,0.0929,0.3628,0.024,0.9978,0.0844,0.3651
0.0259,0.9977,0.089,0.3672,0.0252,0.9971,0.0812,0.3641
0.026,0.9975,0.0881,0.3668,0.027,0.9963,0.0804,0.3642
0.0263,0.9972,0.088,0.3668,0.0332,0.9942,0.0746,0.3637
0.0331,0.9536,0.0945,0.3568,0.0377,0.9332,0.1104,0.3568
0.0357,0.9152,0.0973,0.3459,0.0304,0.8208,0.0807,0.3075
0.0354,0.8789,0.0971,0.3338,0.0287,0.7394,0.0741,0.2779
0.0347,0.8667,0.0968,0.3294,0.0395,0.695,0.0731,0.2665
0.035,0.8602,0.0969,0.3274,0.0248,0.7135,0.0681,0.2661
0.0348,0.8529,0.0965,0.3248,0.0252,0.6872,0.0664,0.257
0.0342,0.8372,0.0957,0.3191,0.0285,0.6642,0.0637,0.2496
0.0337,0.8243,0.0949,0.3145,0.0261,0.6247,0.0614,0.235
0.0338,0.8216,0.0949,0.3136,0.0251,0.6142,0.0595,0.2306
