train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1775,0.7865,0.2133,0.3885,0.1106,0.7041,0.2495,0.3512
0.0849,0.6389,0.1831,0.2993,0.0698,0.6145,0.1997,0.2917
0.0738,0.5773,0.1679,0.2703,0.0545,0.6209,0.1861,0.2843
0.07,0.5363,0.1562,0.2516,0.0559,0.63,0.1763,0.2845
0.0639,0.5019,0.1477,0.2354,0.0608,0.544,0.1577,0.2516
0.0604,0.4692,0.1389,0.2206,0.0622,0.4864,0.1435,0.2284
0.0587,0.4508,0.1333,0.2121,0.0523,0.497,0.1449,0.2291
0.057,0.434,0.1294,0.2047,0.0527,0.4785,0.1397,0.2214
0.0542,0.4089,0.1216,0.1929,0.0549,0.4474,0.1326,0.2095
0.0524,0.3935,0.1174,0.1859,0.0554,0.4444,0.1305,0.208
0.0509,0.3734,0.1119,0.1769,0.0506,0.4209,0.1309,0.1988
0.0493,0.3583,0.1076,0.17,0.0497,0.4077,0.1219,0.1912
0.0468,0.3336,0.1003,0.1586,0.0523,0.4066,0.1245,0.1925
0.046,0.3206,0.0964,0.1528,0.0511,0.3662,0.1087,0.1735
0.0445,0.3037,0.0915,0.1451,0.0471,0.3779,0.1163,0.1786
0.0431,0.2896,0.0871,0.1386,0.0475,0.3822,0.1146,0.1796
0.042,0.2788,0.0839,0.1336,0.0474,0.374,0.1165,0.1775
0.0402,0.259,0.0776,0.1243,0.0516,0.3513,0.1112,0.1697
0.0397,0.2499,0.0745,0.1202,0.0455,0.3364,0.1053,0.1608
0.0386,0.2375,0.0718,0.1148,0.0427,0.3843,0.1169,0.1795
0.0382,0.233,0.0696,0.1125,0.0444,0.3588,0.111,0.1697
0.0356,0.2067,0.0627,0.1006,0.0418,0.2973,0.0932,0.1427
0.0355,0.2032,0.0609,0.0988,0.0406,0.299,0.0921,0.1424
0.034,0.188,0.0562,0.0918,0.0396,0.2842,0.0868,0.1355
0.0332,0.1792,0.0532,0.0876,0.0401,0.2974,0.0936,0.1423
0.0326,0.1735,0.0509,0.0848,0.0391,0.2643,0.0815,0.127
0.0311,0.1587,0.0467,0.078,0.0373,0.2576,0.0823,0.1245
0.0305,0.1524,0.0447,0.0751,0.0397,0.34,0.1131,0.1626
0.0297,0.1471,0.0423,0.0723,0.0368,0.2437,0.0782,0.1184
0.0286,0.1366,0.0389,0.0674,0.039,0.3218,0.1119,0.156
0.0289,0.1377,0.0394,0.068,0.0359,0.2113,0.0668,0.1036
0.0271,0.1224,0.0346,0.0608,0.0362,0.2517,0.081,0.1217
0.0266,0.1174,0.0332,0.0585,0.036,0.2221,0.0741,0.1096
0.026,0.1127,0.0315,0.0561,0.0358,0.221,0.0698,0.1078
0.0252,0.1064,0.0297,0.0532,0.0347,0.2163,0.0726,0.1068
0.0243,0.0998,0.0275,0.05,0.0331,0.1948,0.0651,0.0967
0.0246,0.1014,0.0279,0.0508,0.036,0.2471,0.088,0.1224
0.0239,0.0966,0.0262,0.0484,0.0327,0.2043,0.071,0.1017
0.0227,0.0882,0.0237,0.0444,0.0319,0.185,0.0639,0.0927
0.0232,0.091,0.0246,0.0458,0.0336,0.2204,0.0787,0.1098
0.0216,0.0805,0.0211,0.0407,0.0317,0.1835,0.0649,0.0924
0.0212,0.0776,0.0203,0.0393,0.0317,0.1902,0.0686,0.0959
0.0222,0.0839,0.022,0.0422,0.0321,0.192,0.0688,0.0966
0.0212,0.0771,0.02,0.039,0.0312,0.1767,0.0633,0.0895
0.0198,0.0682,0.0174,0.0348,0.0313,0.1829,0.068,0.0931
0.0196,0.0675,0.0171,0.0344,0.0309,0.1786,0.0682,0.0916
0.0202,0.0704,0.0181,0.0358,0.0309,0.18,0.0694,0.0925
0.0204,0.073,0.0191,0.0371,0.0307,0.176,0.0663,0.0901
0.0182,0.0588,0.0146,0.0302,0.0302,0.1667,0.0655,0.0866
