train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.032,0.9188,1.1468,0.6922,0.0331,0.9164,1.1332,0.6873
0.0291,0.9054,1.145,0.6862,0.0271,0.9216,1.1184,0.6821
0.0279,0.8964,1.1432,0.6823,0.0288,0.9151,1.1226,0.682
0.027,0.8889,1.1415,0.6789,0.0254,0.9205,1.1166,0.6806
0.0261,0.8826,1.1404,0.6762,0.0233,0.9262,1.1158,0.6815
0.0253,0.8759,1.1392,0.6733,0.0233,0.9502,1.1178,0.6902
0.0244,0.8693,1.1379,0.6704,0.0239,0.9141,1.1203,0.6792
0.0235,0.8637,1.1367,0.6679,0.0218,0.9201,1.1157,0.679
0.0229,0.8584,1.1356,0.6656,0.0221,0.9189,1.1162,0.6789
0.0221,0.8535,1.1344,0.6633,0.0215,0.9246,1.1156,0.6804
0.0216,0.8498,1.1337,0.6617,0.0209,0.9347,1.1177,0.6842
0.0209,0.846,1.1326,0.6598,0.0201,0.9453,1.1164,0.687
