train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1154,0.6713,0.0872,0.2884,0.0259,0.4579,0.0628,0.1804
0.0204,0.3917,0.0506,0.1527,0.022,0.3881,0.0523,0.1526
0.0176,0.3214,0.0423,0.1258,0.0179,0.314,0.0438,0.124
0.0162,0.2794,0.0369,0.1097,0.0156,0.2849,0.0374,0.1115
0.015,0.2471,0.0328,0.0973,0.0145,0.2656,0.0371,0.1047
0.0143,0.2238,0.0295,0.0883,0.0141,0.2385,0.0326,0.0941
0.0135,0.2037,0.0268,0.0805,0.0144,0.2249,0.0295,0.0887
0.013,0.1868,0.0244,0.074,0.0128,0.2072,0.0283,0.082
0.0125,0.1721,0.0223,0.0683,0.0124,0.1949,0.0259,0.077
0.012,0.1596,0.0205,0.0634,0.0123,0.1802,0.0243,0.0715
