train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1119,0.6628,0.0856,0.2839,0.0245,0.478,0.0591,0.1853
0.0223,0.4496,0.055,0.1739,0.0191,0.4035,0.0502,0.156
0.0195,0.385,0.0479,0.1493,0.017,0.3818,0.0447,0.1464
0.0183,0.3522,0.044,0.1368,0.0164,0.3579,0.0424,0.1375
0.0175,0.3284,0.0411,0.1277,0.0156,0.31,0.0379,0.12
0.0168,0.311,0.0389,0.121,0.018,0.3076,0.0385,0.1202
0.0163,0.2955,0.0369,0.1151,0.0168,0.3057,0.038,0.119
0.0158,0.2817,0.0353,0.1098,0.0158,0.271,0.0337,0.1058
0.0155,0.2723,0.0339,0.1062,0.0169,0.2682,0.0323,0.1047
0.0151,0.2589,0.0323,0.1011,0.0139,0.2596,0.0326,0.101
0.0148,0.249,0.031,0.0973,0.0138,0.2737,0.0337,0.106
0.0145,0.2436,0.0304,0.0952,0.0141,0.2518,0.0305,0.0978
0.0142,0.2337,0.0291,0.0914,0.0135,0.2338,0.0294,0.0913
0.0141,0.2285,0.0284,0.0894,0.0153,0.2497,0.0308,0.0976
0.0138,0.2206,0.0275,0.0864,0.0135,0.2399,0.0309,0.0938
0.0136,0.2148,0.0267,0.0842,0.0145,0.2338,0.0294,0.0916
0.0134,0.2096,0.026,0.0822,0.0135,0.2293,0.027,0.089
0.0132,0.2031,0.0252,0.0797,0.0129,0.2154,0.0263,0.084
0.013,0.199,0.0247,0.0781,0.0133,0.2054,0.0249,0.0804
0.0129,0.1939,0.024,0.0761,0.0128,0.2186,0.0275,0.0854
0.0127,0.1903,0.0235,0.0747,0.0135,0.2945,0.0381,0.1142
0.0126,0.1845,0.0227,0.0725,0.0138,0.2045,0.0239,0.0799
0.0124,0.1809,0.0222,0.0711,0.0129,0.2008,0.0241,0.0784
0.0123,0.1782,0.0219,0.0701,0.0126,0.2091,0.0264,0.0819
0.0122,0.1736,0.0213,0.0683,0.0127,0.1901,0.0237,0.0747
0.012,0.1698,0.0209,0.0669,0.012,0.1909,0.024,0.0749
0.012,0.1689,0.0208,0.0666,0.013,0.1953,0.0238,0.0766
0.0118,0.1649,0.0203,0.065,0.0122,0.1828,0.0226,0.0718
0.0117,0.1615,0.0198,0.0637,0.012,0.1757,0.022,0.0692
0.0116,0.1576,0.0193,0.0622,0.0126,0.183,0.0229,0.0721
0.0115,0.1564,0.0191,0.0617,0.0121,0.1817,0.0219,0.0712
0.0115,0.1546,0.0189,0.061,0.0117,0.1787,0.0223,0.0702
0.0113,0.1512,0.0184,0.0597,0.0125,0.1766,0.0216,0.0695
0.0112,0.1476,0.0179,0.0583,0.0123,0.1735,0.0204,0.068
0.0112,0.147,0.0179,0.0581,0.0118,0.1776,0.0217,0.0697
0.011,0.1429,0.0173,0.0565,0.0123,0.1685,0.02,0.0663
0.011,0.1426,0.0173,0.0564,0.0116,0.1975,0.0245,0.0771
0.0109,0.1388,0.0168,0.055,0.0115,0.1668,0.0208,0.0657
