train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1254,0.9813,0.0975,0.3974,0.0253,0.9975,0.0824,0.3647
0.0286,0.9914,0.0885,0.3658,0.0247,0.9978,0.084,0.3652
0.0304,0.99,0.0877,0.3656,0.0326,0.9966,0.0843,0.3675
0.029,0.9854,0.0879,0.3638,0.0312,0.9968,0.0799,0.3656
0.0281,0.9905,0.088,0.3652,0.0278,0.9974,0.0818,0.3653
0.0312,0.9047,0.0903,0.3387,0.0224,0.9467,0.0853,0.348
0.0341,0.7934,0.0874,0.3019,0.0256,0.9208,0.095,0.3436
0.0318,0.6334,0.0759,0.2445,0.0256,0.7423,0.076,0.2785
0.0265,0.5216,0.0639,0.202,0.0257,0.6639,0.0666,0.2495
0.0236,0.4579,0.057,0.1777,0.0249,0.6198,0.0672,0.2349
0.0217,0.4143,0.0518,0.161,0.0247,0.6061,0.0655,0.2298
0.0203,0.3779,0.0475,0.1471,0.0263,0.6057,0.0694,0.2315
0.019,0.3493,0.044,0.1361,0.0218,0.5694,0.0627,0.2158
0.018,0.3251,0.041,0.1267,0.0201,0.55,0.0599,0.2079
0.0171,0.3035,0.0382,0.1184,0.0178,0.5675,0.0605,0.2131
0.0164,0.2824,0.0356,0.1103,0.0175,0.5666,0.0622,0.2133
