train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.6479,0.8503,0.7671,0.7476,0.0529,0.7224,0.6943,0.485
0.0286,0.482,0.6941,0.3976,0.0181,0.5442,0.6928,0.4142
0.0193,0.4226,0.6931,0.3745,0.0164,0.5821,0.6923,0.426
0.0183,0.4019,0.6928,0.3673,0.017,0.4302,0.6924,0.3761
0.0178,0.3843,0.6926,0.3612,0.0167,0.4933,0.6924,0.3968
0.0175,0.3763,0.6925,0.3585,0.017,0.5196,0.6926,0.4056
0.0173,0.3693,0.6924,0.3561,0.0162,0.4156,0.6922,0.3709
0.0171,0.3606,0.6923,0.3531,0.0163,0.4041,0.6922,0.3672
0.017,0.3523,0.6922,0.3503,0.0163,0.4166,0.6922,0.3713
0.0168,0.3464,0.6922,0.3483,0.0156,0.4195,0.692,0.3719
0.0168,0.3449,0.6922,0.3478,0.0168,0.3817,0.6924,0.36
0.0165,0.3384,0.6921,0.3455,0.0167,0.437,0.6924,0.3782
0.0165,0.3363,0.6921,0.3448,0.0157,0.4106,0.692,0.3691
0.0163,0.3294,0.692,0.3424,0.0175,0.383,0.6927,0.3607
0.0163,0.3284,0.692,0.3421,0.0158,0.3971,0.692,0.3646
0.0162,0.325,0.6919,0.3409,0.0162,0.3714,0.6922,0.3563
0.0161,0.3213,0.6919,0.3397,0.0166,0.3498,0.6922,0.3494
0.0161,0.321,0.6919,0.3396,0.0162,0.3646,0.6922,0.3541
0.0159,0.3142,0.6918,0.3372,0.016,0.3669,0.6921,0.3547
0.0161,0.3172,0.6919,0.3383,0.0169,0.3626,0.6925,0.3538
0.0159,0.3137,0.6918,0.3371,0.0165,0.3385,0.6922,0.3456
0.0158,0.3111,0.6918,0.3362,0.0157,0.3493,0.692,0.3488
0.0157,0.3061,0.6917,0.3345,0.0162,0.3664,0.6921,0.3546
0.0157,0.3063,0.6917,0.3345,0.0186,0.3563,0.6931,0.3524
0.0157,0.3046,0.6917,0.334,0.0165,0.3908,0.6923,0.3629
0.0156,0.3032,0.6917,0.3335,0.0152,0.3849,0.6918,0.3603
