train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1264,0.626,0.0855,0.2765,0.0408,0.5892,0.1034,0.242
0.0201,0.3887,0.0505,0.1516,0.0236,0.4557,0.0586,0.1775
0.0176,0.3205,0.0421,0.1255,0.019,0.3839,0.0486,0.149
0.0161,0.2752,0.0363,0.1081,0.0198,0.3141,0.0429,0.1243
0.0149,0.241,0.0318,0.095,0.0172,0.2783,0.0355,0.1092
0.014,0.2154,0.0284,0.0851,0.014,0.2478,0.0346,0.0978
0.0133,0.1957,0.0255,0.0774,0.0141,0.2444,0.0328,0.0961
0.0127,0.1776,0.023,0.0704,0.0137,0.2143,0.0287,0.0847
0.0123,0.1655,0.0212,0.0657,0.0129,0.1924,0.026,0.0763
0.0118,0.1522,0.0193,0.0605,0.0127,0.1831,0.0252,0.0729
0.0114,0.1439,0.0181,0.0572,0.0117,0.1724,0.0234,0.0685
0.011,0.1339,0.0167,0.0533,0.0121,0.1637,0.0215,0.0651
0.0108,0.1275,0.0158,0.0508,0.0112,0.1468,0.0189,0.0584
0.0105,0.1204,0.0148,0.0481,0.0113,0.1486,0.0201,0.0594
0.0103,0.1147,0.0139,0.0459,0.0114,0.1496,0.0201,0.0598
0.01,0.1081,0.0131,0.0433,0.0109,0.1468,0.0195,0.0585
0.0098,0.1031,0.0123,0.0413,0.0109,0.1446,0.0194,0.0577
0.0096,0.099,0.0117,0.0397,0.0109,0.141,0.0185,0.0563
0.0094,0.0938,0.011,0.0377,0.0105,0.1229,0.0157,0.0492
0.0092,0.0888,0.0103,0.0357,0.0102,0.1184,0.0156,0.0476
0.009,0.0859,0.0099,0.0346,0.0102,0.1191,0.0158,0.0479
0.0088,0.0819,0.0094,0.033,0.01,0.1135,0.0148,0.0457
0.0087,0.079,0.009,0.0319,0.0102,0.1196,0.0159,0.0481
0.0086,0.0772,0.0088,0.0312,0.01,0.1192,0.016,0.0479
0.0084,0.0743,0.0084,0.0301,0.0099,0.1134,0.0152,0.0457
0.0082,0.0699,0.0078,0.0283,0.0096,0.1074,0.0144,0.0434
0.0082,0.0698,0.0078,0.0283,0.0099,0.1157,0.0157,0.0466
0.0081,0.0687,0.0077,0.0279,0.0096,0.1038,0.0141,0.0421
0.0078,0.0643,0.0071,0.0262,0.0101,0.1104,0.0151,0.0447
