train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1998,0.8107,0.1144,0.3712,0.0267,0.7118,0.0807,0.2704
0.0259,0.5431,0.0651,0.2092,0.0203,0.6006,0.0642,0.2261
0.0227,0.47,0.0576,0.1816,0.0195,0.5559,0.0615,0.2102
0.0213,0.4345,0.0534,0.168,0.017,0.6841,0.0728,0.2554
0.0203,0.4051,0.05,0.1569,0.017,0.639,0.0702,0.2397
0.0195,0.3829,0.0475,0.1485,0.0173,0.4652,0.053,0.1767
0.0189,0.3647,0.0453,0.1415,0.0163,0.4592,0.0516,0.1739
0.0184,0.3485,0.0434,0.1354,0.0151,0.4995,0.0628,0.1905
0.018,0.3359,0.0419,0.1306,0.0151,0.5138,0.0579,0.1937
0.0176,0.3227,0.0402,0.1255,0.0156,0.4675,0.055,0.1775
0.0171,0.3104,0.0388,0.1209,0.0149,0.4346,0.0512,0.1652
0.0168,0.3011,0.0377,0.1174,0.0139,0.3964,0.0471,0.151
0.0164,0.2897,0.0364,0.113,0.0146,0.3792,0.0454,0.1449
0.0161,0.28,0.0352,0.1093,0.016,0.4149,0.0493,0.1585
0.0158,0.2716,0.0343,0.1061,0.0132,0.335,0.0402,0.1282
0.0156,0.2647,0.0334,0.1035,0.0135,0.3138,0.0374,0.1203
0.0153,0.2558,0.0323,0.1001,0.0133,0.2968,0.0345,0.1138
0.0151,0.2496,0.0315,0.0977,0.013,0.322,0.0394,0.1236
0.0148,0.2426,0.0307,0.0951,0.0126,0.3341,0.0411,0.128
0.0146,0.2352,0.0298,0.0923,0.0128,0.2926,0.0341,0.112
0.0144,0.2299,0.0291,0.0902,0.0129,0.2917,0.0331,0.1114
0.0142,0.224,0.0284,0.088,0.0122,0.3148,0.0376,0.1203
0.014,0.2183,0.0276,0.0858,0.0127,0.2752,0.0355,0.1067
0.0138,0.2116,0.0268,0.0832,0.0122,0.2567,0.0301,0.0987
0.0136,0.2077,0.0262,0.0817,0.0126,0.3321,0.0373,0.1261
0.0136,0.2055,0.026,0.0809,0.0119,0.2458,0.0279,0.0943
