train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
1.0099,0.9725,0.3117,0.7571,1.0077,0.9711,0.1903,0.7158
1.0014,0.9676,0.1492,0.699,0.9838,0.9627,0.1201,0.682
0.7792,0.9554,0.1323,0.6161,0.5876,0.9498,0.1173,0.5461
0.4873,0.9257,0.0896,0.4959,0.3451,0.878,0.0635,0.4246
0.1788,0.6964,0.049,0.305,0.0983,0.6022,0.0562,0.2497
0.0596,0.4827,0.0417,0.1927,0.0703,0.5369,0.0611,0.2206
0.0432,0.3936,0.0372,0.1564,0.043,0.4056,0.04,0.1612
0.037,0.3386,0.0336,0.1351,0.0357,0.37,0.0374,0.1462
0.0336,0.2978,0.0307,0.1195,0.0319,0.3763,0.0386,0.1474
0.0313,0.2659,0.0282,0.1074,0.0307,0.3845,0.0399,0.1502
0.0297,0.2405,0.0261,0.0978,0.03,0.3408,0.0364,0.1344
0.0284,0.2196,0.0242,0.0898,0.0294,0.3334,0.0361,0.1316
0.0274,0.2023,0.0226,0.0833,0.0293,0.3429,0.0375,0.1352
0.0266,0.1884,0.0212,0.078,0.0287,0.3283,0.0366,0.1299
0.026,0.1767,0.0201,0.0735,0.0286,0.3087,0.035,0.1228
0.0254,0.1664,0.019,0.0696,0.028,0.3214,0.0369,0.1275
0.0249,0.157,0.018,0.066,0.0284,0.2737,0.0317,0.1102
0.0245,0.1494,0.0172,0.0631,0.028,0.2777,0.0326,0.1116
0.0241,0.1426,0.0164,0.0604,0.0292,0.265,0.0317,0.1075
0.0238,0.1367,0.0157,0.0582,0.0283,0.265,0.0319,0.1073
0.0235,0.1308,0.0151,0.0559,0.0304,0.2731,0.0342,0.1115
0.0232,0.1259,0.0145,0.054,0.0277,0.2585,0.0319,0.105
0.023,0.1218,0.014,0.0524,0.029,0.2568,0.032,0.1049
0.0228,0.1176,0.0135,0.0508,0.0273,0.2937,0.0364,0.118
0.0226,0.1138,0.0131,0.0493,0.0274,0.2502,0.0315,0.102
0.0224,0.1103,0.0127,0.048,0.03,0.2649,0.0346,0.1087
0.0223,0.1071,0.0123,0.0468,0.0271,0.2927,0.0372,0.1178
0.0222,0.1052,0.0121,0.046,0.0266,0.2626,0.034,0.1067
0.022,0.1015,0.0116,0.0446,0.0285,0.2512,0.0331,0.1032
0.0219,0.0993,0.0114,0.0437,0.0269,0.2554,0.0334,0.1042
0.0217,0.0968,0.0111,0.0428,0.0274,0.2445,0.0324,0.1004
0.0215,0.0939,0.0107,0.0416,0.0267,0.2528,0.0335,0.1033
0.0215,0.092,0.0105,0.0409,0.0295,0.2516,0.0342,0.104
0.0213,0.0898,0.0102,0.0401,0.0265,0.256,0.0343,0.1045
0.0213,0.0886,0.0101,0.0396,0.0278,0.2487,0.0336,0.1023
0.0211,0.0863,0.0098,0.0387,0.0266,0.2724,0.0369,0.1109
0.0211,0.085,0.0097,0.0382,0.0275,0.2405,0.0333,0.0994
0.021,0.0839,0.0095,0.0378,0.0267,0.2945,0.04,0.1192
0.0209,0.0824,0.0094,0.0372,0.0263,0.2601,0.0358,0.1063
0.0208,0.0808,0.0092,0.0366,0.0286,0.2437,0.0342,0.1012
0.0207,0.0791,0.009,0.0359,0.028,0.24,0.0339,0.0996
0.0207,0.0781,0.0088,0.0355,0.0275,0.2345,0.0331,0.0974
0.0206,0.0767,0.0087,0.035,0.0267,0.2695,0.0378,0.1102
