train_dice_loss,train_ssim_loss,train_bce_loss,train_total_loss,val_dice_loss,val_ssim_loss,val_bce_loss,val_total_loss
0.9983,0.9778,0.9778,0.8739,0.9922,0.9726,0.9726,0.8927
0.9969,0.9724,0.9724,0.8693,0.9922,0.9726,0.9726,0.8899
0.996,0.9748,0.9748,0.8419,0.9923,0.9726,0.9726,0.8863
0.9952,0.9734,0.9734,0.8241,0.9923,0.9727,0.9727,0.8811
0.9948,0.9739,0.9739,0.8081,0.9924,0.9725,0.9725,0.8773
0.9948,0.9742,0.9742,0.7963,0.9924,0.9719,0.9719,0.8707
0.9948,0.9745,0.9745,0.7868,0.9926,0.9725,0.9725,0.8661
0.9948,0.9746,0.9746,0.7791,0.9928,0.9737,0.9737,0.8602
0.9949,0.9746,0.9746,0.7739,0.9928,0.9731,0.9731,0.8464
0.9948,0.9741,0.9741,0.7675,0.9932,0.973,0.973,0.8317
0.9947,0.9743,0.9743,0.7678,0.9935,0.9738,0.9738,0.8193
0.9947,0.9732,0.9732,0.7592,0.994,0.9784,0.9784,0.8698
0.9947,0.9722,0.9722,0.7555,0.9935,0.976,0.976,0.9936
0.9946,0.9709,0.9709,0.7521,0.9919,0.9692,0.9692,1.131
0.9944,0.9706,0.9706,0.7488,0.9908,0.9667,0.9667,1.5958
0.9943,0.9694,0.9694,0.7463,0.9908,0.9667,0.9667,1.9799
0.9941,0.9673,0.9673,0.7435,0.9908,0.9658,0.9658,1.5072
0.9938,0.9632,0.9632,0.7403,0.9907,0.966,0.966,2.0788
0.9941,0.9628,0.9628,0.7377,0.991,0.9611,0.9611,1.0495
0.9936,0.9577,0.9577,0.7355,0.9906,0.9665,0.9665,4.7529
0.9937,0.9589,0.9589,0.7329,0.9905,0.9665,0.9665,13.4414
0.9931,0.9535,0.9535,0.7281,0.9904,0.9656,0.9656,4.5912
