train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1143,0.9953,0.101,0.3995,0.0241,0.9985,0.0872,0.3662
0.0256,0.9983,0.0922,0.3683,0.0252,0.9982,0.0855,0.3659
0.0257,0.9982,0.0916,0.3681,0.0269,0.9975,0.0816,0.365
0.0259,0.9978,0.0894,0.3673,0.0298,0.9965,0.0775,0.3642
0.026,0.9976,0.0888,0.3671,0.0369,0.9947,0.0741,0.3649
0.0261,0.9974,0.0881,0.3668,0.0266,0.9965,0.0792,0.3638
0.0262,0.9973,0.0876,0.3667,0.0234,0.9962,0.0811,0.3632
0.0272,0.9946,0.0879,0.3662,0.0279,0.9855,0.0983,0.3668
0.0275,0.993,0.0894,0.3662,0.0226,0.9978,0.0844,0.3646
0.0272,0.9928,0.0889,0.366,0.0397,0.8771,0.104,0.3369
0.0379,0.89,0.0979,0.3385,0.035,0.7571,0.077,0.2868
0.0363,0.8649,0.0972,0.3295,0.0366,0.7346,0.0773,0.28
0.0352,0.8458,0.0966,0.3226,0.0286,0.7301,0.0701,0.2735
0.0347,0.8394,0.0961,0.3202,0.0327,0.619,0.0613,0.2353
0.0349,0.8265,0.0957,0.3159,0.0329,0.6222,0.0608,0.2363
0.0343,0.8228,0.0956,0.3144,0.03,0.6758,0.0691,0.2557
0.0343,0.8186,0.0952,0.3129,0.0316,0.658,0.0664,0.2495
0.034,0.8122,0.095,0.3106,0.0236,0.6761,0.0641,0.252
0.0339,0.808,0.0947,0.3091,0.0261,0.5946,0.06,0.2246
0.034,0.8067,0.0946,0.3086,0.0271,0.5807,0.0557,0.2189
0.0339,0.803,0.0944,0.3073,0.0253,0.5965,0.059,0.2247
0.0338,0.8013,0.0943,0.3067,0.0239,0.5991,0.0575,0.2246
0.0339,0.8002,0.0942,0.3063,0.0237,0.5812,0.057,0.2184
0.0338,0.7947,0.0939,0.3044,0.0226,0.5909,0.0571,0.2213
0.0336,0.7937,0.0939,0.304,0.0212,0.6318,0.061,0.2356
0.0334,0.7896,0.0934,0.3025,0.0198,0.6934,0.0657,0.2571
0.0333,0.7861,0.0933,0.3012,0.0217,0.6134,0.0596,0.2292
0.0334,0.7907,0.0934,0.3028,0.021,0.629,0.0607,0.2345
0.0334,0.7865,0.0932,0.3013,0.0224,0.5957,0.0567,0.2227
0.0333,0.7834,0.0929,0.3002,0.023,0.5623,0.055,0.2113
0.0332,0.7797,0.0926,0.2988,0.0243,0.5416,0.0507,0.2035
0.0331,0.7812,0.0925,0.2992,0.02,0.5969,0.0567,0.2223
0.0333,0.7795,0.0923,0.2987,0.0202,0.6122,0.0584,0.228
0.0332,0.7807,0.0923,0.299,0.0217,0.5621,0.0535,0.2103
0.0332,0.7794,0.0923,0.2986,0.022,0.5549,0.0542,0.2083
0.0329,0.774,0.0916,0.2965,0.0196,0.6167,0.0598,0.2297
