train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1656,0.681,0.093,0.3101,0.0201,0.7104,0.0763,0.2663
0.022,0.4421,0.0543,0.1711,0.0179,0.5147,0.0564,0.1944
0.0192,0.3716,0.0463,0.1442,0.0167,0.5035,0.0557,0.1901
0.0179,0.3373,0.0422,0.1311,0.023,0.4948,0.0586,0.1902
0.0171,0.315,0.0394,0.1226,0.0155,0.5193,0.0584,0.1958
0.0163,0.2935,0.0368,0.1144,0.02,0.442,0.0523,0.1697
0.0157,0.2737,0.0344,0.1068,0.0185,0.4107,0.0481,0.1575
