train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.1036,0.9951,0.0952,0.394,0.0216,0.9985,0.0892,0.3661
0.026,0.9977,0.0893,0.3673,0.0239,0.9978,0.0834,0.3647
0.0259,0.9977,0.089,0.3672,0.0259,0.9968,0.08,0.3639
0.0259,0.9976,0.0885,0.367,0.0196,0.9996,0.1039,0.3706
0.0262,0.9971,0.0888,0.367,0.0248,0.9975,0.0834,0.3649
0.0267,0.9955,0.0896,0.3669,0.0215,0.999,0.0964,0.3686
0.0271,0.991,0.09,0.3657,0.0241,0.997,0.0803,0.3635
0.0271,0.9926,0.0899,0.3662,0.0727,0.8869,0.1487,0.3658
